Charles Dickens "A Christmas Carol"
George Orwell "Animal Farm"
Isaac Asimov "Profession"
Ivan Bahrianyi "The Hunters and the Hunted"
Ivan Franko "Kameniari"
Jack London "Love of Life"
Lesia Ukrainka "The Forest Song"
Mark Twain "Tom Sawyer"
Mikhail Bulgakov "The Master and Margarita"
Mykhailo Kotsiubynsky "Fata Morgana"
Mykhailo Kotsiubynsky "Shadows of Forgotten Ancestors"
Olha Kobylianska "Earth"
Robert Louis Stevenson "Treasure Island"
Taras Shevchenko "Kobzar"
Valerian Pidmohylny "A Little Touch of Drama"
Valerian Pidmohylny "The city"
William Shakespeare "Romeo and Juliet"
William Shakespeare "The Tragical Historie of Hamlet, Prince of Denmarke"
